First Name|Last Name|Club|Position|Base Salary|Total Compensation
Nick|Lima|San Jose Earthquakes|D|93996|100200
Cam|Lindley|Orlando City SC|M|80000|88906
Jaylin|Lindsey|Sporting Kansas City|D|54504|67504
Sebastian|Lletget|LA Galaxy|M|240000|252667
Cristian|Lobato|Sporting Kansas City|M|240000|240000
Nicolas|Lodeiro|Seattle Sounders FC|M|1800000|2302500
Aaron|Long|New York Red Bulls|D|73125|73125
Luis|Lopez|LAFC|GK|70000|147500
Ricky|Lopez-Espin|Real Salt Lake|F|67500|76250
Brent|Kallman|Minnesota United|D|82500|85792
Ola|Kamara|LA Galaxy|F|825000|925000
Kei|Kamara|Vancouver Whitecaps|F|1000000|1000000
Alec|Kann|Atlanta United|GK|94008|94008
Alex|Kapp|Minnesota United|GK|55654|55654
Johan|Kappelhof|Chicago Fire|D|555000|595000
Guram|Kashia|San Jose Earthquakes|D|550000|550000
Aleksandar|Katai|Chicago Fire|M|1200000|1320333
Mark-Anthony|Kaye|LAFC|M|70000|75000
Kim|Kee-Hee|Seattle Sounders FC|D|500004|632004
Muhamed|Keita||F|325000|367292
Dane|Kelly|DC United|F|67500|69500
Taylor|Kemp|DC United|D|140000|140000
Jonathan|Kempin|Columbus Crew|GK|80256|80256
Logan|Ketterer|Columbus Crew|GK|67500|67500
Perry|Kitchen|LA Galaxy|D-M|450000|474167
Sacha|Kljestan|Orlando City SC|M|1025000|1100000
Brad|Knighton|New England Revolution|GK|105956|110956
Chris|Konopka||GK|67500|67500
Aaron|Kovar|LAFC|M|69458|69658
Kevin|Kratz|Atlanta United|M|165000|179250
Damir|Kreilach|Real Salt Lake|M|900000|1013333
Ken|Krolicki|Montreal Impact|M|54500|54500
Lagos|Kunga|Atlanta United|M-F|54500|58500
Erik|Hurtado|Vancouver Whitecaps|F/M|150000|156250
Baggio|Husidic|LA Galaxy|M|175000|175000
Jahmir|Hyka|San Jose Earthquakes|M|489996|539996
Romario|Ibarra|Minnesota United|M|500000|546250
Miguel|Ibarra|Minnesota United|M|300000|332322
Sebastien|Ibeagha|New York City FC|D|67500|67500
Zlatan|Ibrahimovic|LA Galaxy|F|1500000|1500000
Clint|Irwin|Toronto FC|GK|210000|221313
Andreas|Ivan|New York Red Bulls|M|240000|344100
Niki|Jackson|Colorado Rapids|F|54500|54500
Anthony|Jackson-Hamel|Montreal Impact|F|140000|155000
Modou|Jadama|Portland Timbers|D|54500|54500
Adam|Jahn|Columbus Crew|F|97500|97500
Dejan|Jakovic|LAFC|D|150000|150000
Bradford|Jamieson|LA Galaxy|F|72765|72765
Lucas|Janson|Toronto FC|F|396000|449000
Jared|Jeffrey|DC United|M|114996|124996
Hector|Jimenez|Columbus Crew|M|159996|159996
Daniel|Johnson|Chicago Fire|M|68254|68254
Sean|Johnson|New York City FC|GK|250008|250008
Will|Johnson|Orlando City SC|M|434004|470004
Derrick|Jones|Philadelphia Union|M|70000|75900
Efrain|Juarez|Vancouver Whitecaps|D-M|525000|619833
Florian|Jungwirth|San Jose Earthquakes|D-M|500004|566671
Jacori|Hayes|FC Dallas|M|68250|75750
Harrison|Heath|Minnesota United|M|69458|69458
Matt|Hedges|FC Dallas|D|500004|525004
Adam|Henley|Real Salt Lake|D|115000|122833
Doneil|Henry|Vancouver Whitecaps|D|140004|154238
Fabian|Herbers|Philadelphia Union|F-M|100008|100008
Zachary|Herivaux|New England Revolution|M|68906|83906
Jose Rafael|Hernandez|Atlanta United|D|120000|120000
Moises|Hernandez|FC Dallas|D|67500|67500
Jose E|Hernandez|Real Salt Lake|M|67500|70875
Jason|Hernandez|Toronto FC|D|67500|67500
Yangel|Herrera|New York City FC|M|200000|200000
Aaron|Herrera|Real Salt Lake|D|67500|67500
Federico|Higuain|Columbus Crew|M|1100000|1100000
Cristian|Higuita|Orlando City SC|M|444996|581663
Mitch|Hildebrandt|Atlanta United|GK|67500|67500
Tomas|Hilliard-Arce|LA Galaxy|D|90000|113125
Danny|Hoesen|San Jose Earthquakes|F|465000|518000
Femi|Hollinger-Janzen|New England Revolution|F|67500|67500
Ryan|Hollingshead|FC Dallas|D-M|145000|145000
David|Horst|Real Salt Lake|D|125004|131629
Andre|Horta|LAFC|M|1100000|1198000
Alex|Horwath|Real Salt Lake|GK|67500|73363
Cedric|Hountondji|New York City FC|D|220000|258333
Tim|Howard|Colorado Rapids|GK|2000000|2475000
Justen|Glad|Real Salt Lake|D|270000|291700
Jake|Gleeson|Portland Timbers|GK|120000|125167
Anibal|Godoy|San Jose Earthquakes|M|425000|473125
Alexi|Gomez|Minnesota United|M|300000|339450
Jesse|Gonzalez|FC Dallas|GK|187500|211500
Alan|Gordon|Chicago Fire|F|150000|155000
Chris|Goslin|Atlanta United|M|80000|84000
Mike|Grella|Columbus Crew|F|195300|197550
Julian|Gressel|Atlanta United|M|92500|111250
Adam|Grinwis|Orlando City SC|GK|67500|67500
Carlos|Gruezo|FC Dallas|M|595000|730750
Felipe|Gutierrez|Sporting Kansas City|M|1600000|1650000
Brad|Guzan|Atlanta United|GK|640008|700008
David|Guzman|Portland Timbers|M|220000|240000
Nick|Hagglund|Toronto FC|D|125004|134629
Marlon|Hairston|Colorado Rapids|M|144996|144996
Bill|Hamid|DC United|GK|67500|93175
Sam|Hamilton|Colorado Rapids|M|68254|68254
Jordan|Hamilton|Toronto FC|F|72930|100430
Niko|Hansen|Columbus Crew|F|68250|75750
Ian|Harkes|DC United|M|104500|137738
Jordan|Harvey|LAFC|D|150000|150000
Nicolas|Hasler|Chicago Fire|D-M|132000|147667
Guillermo|Hauche|New England Revolution|M-F|120000|135000
Oniel|Fisher|DC United|D-M|68906|68906
Kyle|Fisher|Montreal Impact|D|55654|55654
Andres|Flores|Portland Timbers|M|67500|67500
Anthony|Fontana|Philadelphia Union|M|65004|73422
Andreu|Fontas|Sporting Kansas City|D|1000000|1000000
Kortne|Ford|Colorado Rapids|D|82500|89500
Hassan Ndam|Fouapon|New York Red Bulls|D|54504|54504
Waylon|Francis|Seattle Sounders FC|D|165000|196042
Sean|Franklin|Vancouver Whitecaps|D|150000|150000
Liam|Fraser|Toronto FC|M|67500|72500
Tyler|Freeman|Sporting Kansas City|F|55200|67700
Stefan|Frei|Seattle Sounders FC|GK|250000|262500
Alejandro|Fuenmayor|Houston Dynamo|D|85008|112508
Gilbert|Fuentes|San Jose Earthquakes|M|70000|82000
Raymon|Gaddis|Philadelphia Union|D|180000|182500
Jon|Gallagher|Atlanta United|F|67500|68750
Oscar Boniek|Garcia|Houston Dynamo|M|150000|165000
Kevin|Garcia|Houston Dynamo|D|68915|68915
Greg|Garza|Atlanta United|D|175008|175008
Shkelzen|Gashi|Colorado Rapids|F|1575000|1668750
Aly|Ghazal|Vancouver Whitecaps|M|575000|700567
Luis|Gil|Houston Dynamo|M|67500|67500
Sebastian|Giovinco|Toronto FC|F|5600000|7115556
Victor|Giro|Orlando City SC|D-M|90000|95313
Alberth|Elis|Houston Dynamo|F|650340|650340
Jack|Elliott|Philadelphia Union|D|59630|59630
Kevin|Ellis|DC United|D|150000|158333
Mohammed|El-Mounir|Orlando City SC|D|175000|192833
Marvin|Emnes|Vancouver Whitecaps|F|69996|159829
Marcus|Epps|Philadelphia Union|M|55654|55654
Magnus|Eriksson|San Jose Earthquakes|F|400000|400000
Franco|Escobar|Atlanta United|D|250008|250008
Fidel|Escobar|New York Red Bulls|D|145000|145000
Roger|Espinoza|Sporting Kansas City|M|900000|900000
Derrick|Etienne|New York Red Bulls|M|68500|73500
Brad|Evans|Sporting Kansas City|D-M|200000|200000
Diego|Fagundez|New England Revolution|M|170000|190000
Rod|Fanni|Montreal Impact|D|1200000|1225000
Marco|Farfan|Portland Timbers|D|64500|64500
Andrew|Farrell|New England Revolution|D|182600|267600
Benny|Feilhaber|LAFC|M|625000|625000
Luis|Felipe|San Jose Earthquakes|M|67500|68500
Rolf|Feltscher|LA Galaxy|D|240000|270000
Gerso|Fernandes|Sporting Kansas City|F-M|550008|591258
Luiz|Fernando|Minnesota United|M|275000|314167
Jesus|Ferreira|FC Dallas|F|54500|54500
Maynor|Figueroa|FC Dallas|D|240000|250000
Ethan|Finlay|Minnesota United|M|375000|375000
Marco|Delgado|Toronto FC|M|230000|230000
Clint|Dempsey|Retired|F|1100000|1650000
Nick|DePuy||F|68254|75754
Tyler|Deric|Houston Dynamo|GK|67500|67500
Zakaria|Diallo|Montreal Impact|D|299250|343250
Ilson|Dias|Philadelphia Union|M|300000|327000
Eric|Dick|Sporting Kansas City|GK|54500|57950
Amer|Didic|Sporting Kansas City|D|55654|55654
Claude|Dielna|New England Revolution|D|780000|909861
Adama|Diomande|LAFC|F|850000|935000
Clement|Diop|Montreal Impact|GK|90000|97290
Borek|Dockal|Philadelphia Union|M|1714286|1714286
Roberto|Dominguez|Vancouver Whitecaps|D|54504|61466
Conor|Donovan|Houston Dynamo|D|54500|54500
Giovani|dos Santos|LA Galaxy|F|4250000|6000000
Jonathan|dos Santos|LA Galaxy|M|2000000|2000000
Kyle|Duncan|New York Red Bulls|D|54500|54500
Julian|Dunn|Toronto FC|D|54500|54500
Chris|Durkin|DC United|D-M|80000|89167
Chris|Duvall|Montreal Impact|D|150000|150000
Dom|Dwyer|Orlando City SC|F|1200000|1383333
Andrew|Dykstra|Colorado Rapids|GK|100008|107659
Jeremy|Ebobisse|Portland Timbers|F|140000|203000
Raheem|Edwards|Chicago Fire|F|55654|55654
Earl|Edwards|Orlando City SC|GK|68250|68250
Jorge|Corrales|Chicago Fire|D|67500|67500
Warren|Creavalle|Philadelphia Union|M|140000|153000
Maxime|Crepeau|Montreal Impact|GK|80000|84083
Alex|Crognale|Columbus Crew|D|95004|95004
Yohan|Croizet|Sporting Kansas City|M|650004|680004
Sam|Cronin|Minnesota United|M|141660|208761
Cody|Cropper|New England Revolution|GK|73828|73828
Harold|Cummings|San Jose Earthquakes|D|249996|300663
