Club|Last Name|First Name|Pos|Base Salary|Compensation
MNUFC|Burch|Marc|D|135000|135000
COL|Burling|Bobby|D|120000|152000
MTL|Bush|Evan|GK|136750|136750
KC|Busio|Gianluca|F|53004|55504
VAN|Bustos|Marco|M|65625|70475
HOU|Cabezas|Juan David|M|243000|267000
MTL|Cabrera|Victor|D|260000|260000
NE|Caldwell|Scott|M|115000|125000
CHI|Calistri|Joey|M|54075|54075
NYCFC|Callens|Alexander|D|180000|203333.33
COL|Calvert|Caleb|F|100000|107500
MNUFC|Calvo|Francisco|D|300000|330843.63
MTL|Camara|Hassoun|D|255000|255000
NYCFC|Camargo|Miguel|M|99999.96|108249.96
TOR|Camargo|Sergio|M|65004|65004
CHI|Campbell|Jonathan|D|101750|109875
DAL|Cannon|Reggie|D|53000.04|53000.04
DC|Canouse|Russell|M|65000.04|65000.04
ATL|Carleton|Andrew|M-F|65000|77400
ATL|Carmona|Carlos|M|675000|725000
ORL|Carrasco|Servando|M|114996|114996
PHI|Carroll|Brian|M|132000|140000
COL|Castillo|Dennis|D|54075|54075
SJ|Cato|Cordell|D-M|137000|138666.67
SJ|Ceren|Darwin|M|200000|249375
DAL|Cermeno|Carlos|M|120000|123000
DAL|Chala|Anibal|D|250000.08|333000.08
NYCFC|Chanot|Maxime|D|350000|383000
TOR|Chapman|Jay|M|90000|108500
POR|Chara|Diego|M|500000|522000
TOR|Cheyrou|Benoit|M|65004|65004
MTL|Choiniere|David|M|54075|54075
LA|Ciani|Michael|D|600000|620000
MTL|Ciman|Laurent|D|630000|661666.67
DC|Clark|Steven|GK|72000|72000
HOU|Clark|Ricardo|M|335160|372660
POR|Clarke|Rennico|D|53004|58004
CHI|Cleveland|Stefan|GK|53004|53004
LA|Cole|Ashley|D|350000|377625
NYRB|Collin|Aurelien|D|450000|450000
DAL|Colman|Cristian|F|300000|385000
SJ|Colvey|Kip|D|54075|54075
CHI|Conner|Drew|M|65625|65625
TOR|Cooper|Armando|M|189000|202333.33
CHI|Corrales|Jorge|D|65004|65004
DAL|Cortes|Eduardo|GK|65004|65004
DAL|Craft|Coy|F-M|85000|102083.33
PHI|Creavalle|Warren|M|125000|138000
MTL|Crepeau|Maxime|GK|75000|79083.33
CLB|Crognale|Alex|D|84996|84996
MNUFC|Cronin|Sam|M|300000|324750
NE|Cropper|Cody|F|65625|65625
SJ|Cummings|Harold|D|249996|300662.67
COL|Da Fonte|Mike|D|65004|65004
HOU|Da Silva|Leonardo|D|140004|147670.67
ORL|Da Silva|Pierre|M|53004|53004
MNUFC|Danladi|Abu|F|125000.04|176000.04
PHI|Davies|Charlie|F|108960|114684.94
VAN|Davies|Alphonso|M|65000|65000
MNUFC|Davis|Justin|D|80000|89750
NYRB|Davis|Sean|M|110000|127500
SJ|Dawkins|Simon|M|800000|800000
VAN|de Jong|Marcel|D-M|140000|140000
CHI|De Leeuw|Michael|F|500000|564212.5
CLB|De Lima Junior|Artur|M|80004|99879
MNUFC|De Villardi|Thomas|D|53004|53004
CHI|Dean|Christian|D|90000|93125
CHI|Dekovic|Matej|D|65004|65004
HOU|DeLaGarza|AJ|D|250000|252500
SEA|Delem|Jordy|M|53004|53004
DC|DeLeon|Nick|M|255000|255000
TOR|Delgado|Marco|M|210000|210000
MNUFC|Demidov|Vadim|D|550008|555008
SEA|Dempsey|Clint|F|3200000|3892933.5
MTL|Depuy|Nick|F|65000.04|72500.04
HOU|Deric|Tyler|GK|185000|185000
LA|Diallo|Bradley|D|65004|65004
DAL|Diaz|Mauro|M|784000|880890
KC|Didic|Amer|D|53004|53004
NE|Dielna|Claude|D|780000|909861
LA|Diop|Clement|GK|65625|65625
NYCFC|Diskerud|Mix|M|772669|772669
MTL|Donadel|Marco|M|72000|257328
ORL|Donovan|Conor|D|100000|128000
CHI|Doody|Patrick|D|65000|65000
LA|Dos Santos|Giovani|F|3750000|5500000
LA|Dos Santos|Jonathan|M|2000000.04|2000000.04
COL|Doyle|Kevin|F|1000000|1045000
NYRB|Duka|Dilly|M|175000|175000
RSL|Dunk|Reagan|D|53004|53004
DC|Durkin|Chris|D-M|70000|79166.67
MTL|Duvall|Chris|D|70875|70875
ORL|Dwyer|Dom|F|550000|668750
KC|Dykstra|Andrew|GK|80004|87654.51
MTL|Dzemaili|Blerim|M|750000|750000
POR|Ebobisse|Jeremy|F|130000|173000
VAN|Edgar|David|D|175000|183833.33
PHI|Edu|Maurice|M|750000|818750
ORL|Edwards|Earl|GK|65000|65000
TOR|Edwards|Raheem|F|53004|53004
HOU|Elis|Alberth|F|423000|423000
PHI|Elliott|Jack|D|53004|53004
KC|Ellis|Kevin|D|140004|148337.33
TOR|Endoh|Tsubasa|F|54075|54075
PHI|Epps|Marcus|M|53004|53004
HOU|Escalante|Jose|M|53004|53004
NYRB|Escobar|Fidel|D|95000.04|95000.04
KC|Espinoza|Roger|M|850000|850000
NYRB|Etienne|Derrick|M|53000|58000
LAFC|Etim|Monday Bassey|M|53004|53004
SEA|Evans|Brad|D-M|300000|338501.25
PHI|Fabinho||D|159759|167759
NE|Fagundez|Diego|M|160000|180000
POR|Farfan|Marco|D|53000|53000
NE|Farrell|Andrew|D|182600|263600
KC|Feilhaber|Benny|M|600000|600000
KC|Fernandes|Gerso|M-F|550008|591258
CHI|Fernandez|Collin|M|85000|87000
DAL|Ferreira|Jesus|F|53000|53000
DAL|Figueroa|Maynor|D|320000|343333.33
MNUFC|Finlay|Ethan|M|290000|290000
MTL|Fisher|Kyle|D|53004|53004
SEA|Fisher|Oniel|M-D|65625|65625
VAN|Flores|Deybi|M|53000.04|53000.04
PHI|Fontana|Anthony|M|53004|61421.6
COL|Ford|Kortne|D|69996|76996
CLB|Francis|Waylon|D|227500|251875
MTL|Francis|Shaun|D|115000|123333.33
DC|Franklin|Sean|D|258756|283756
SEA|Frei|Stefan|GK|250000|256250
PHI|Gaddis|Raymon|D|165000|167500
HOU|Garcia|Boniek|M|225000|247500
HOU|Garcia|Kevin|D|65633.4|65633.4
LA|Garcia|Rafael|M|82500|82500
ORL|Garcia|Devron|M-F|53004|53004
ATL|Garza|Greg|D|150000|150000
COL|Gashi|Shkelzen|F|1575000|1668750
COL|Gatt|Joshua|M|175008|193508
VAN|Ghazal|Ali|D-M|86799.96|212366.63
COL|Gil|Luis|M|144000|144000
TOR|Giovinco|Sebastian|F|5600000|7115555.67
ORL|Giro|Victor|D-M|80004|85316.5
RSL|Glad|Justen|D|225000|246700
POR|Gleeson|Jake|GK|110000|115166.67
SJ|Godoy|Anibal|M|229992|256242
NYCFC|Gomez|Shannon|D|54075|54075
DAL|Gonzalez|Jesse|GK|85000.08|109000.08
DAL|Gonzalez|Luis|M|65000.04|83125.04
ATL|Gonzalez Pirez|Leandro|D|250008|285008
CHI|Goossens|John|M|230000|233333.33
COL|Gordon|Alan|F|180000|180000
ATL|Goslin|Chris|M|70000|74000
DAL|Grana|Hernan|D|200000.04|225500.04
MNUFC|Greenspan|Joseph|D|65000|66469.08
VAN|Greig|Kyle|F|65004|66849
NYRB|Grella|Mike|F|186000|188250
ATL|Gressel|Julian|M|75000|93750
DAL|Gruezo|Carlos|M|495000|731500
DAL|Guillen|Aaron|D|54075|54075
ATL|Guzan|Brad|GK|340008|400008
POR|Guzman|David|M|185004|188337.33
TOR|Hagglund|Nick|D|100008|109633
COL|Hairston|Marlon|D-M|110004|110004
DC|Hamid|Bill|GK|350000|395500
COL|Hamilton|Sam|M|65004|65004
TOR|Hamilton|Jordan|F|69457.5|81957.5
CLB|Hansen|Nikolaj|F|65000.04|72500.04
DC|Harkes|Ian|M|90000|123237.5
CHI|Harrington|Michael|D|135000|136666.67
DAL|Harris|Atiba|D-M|155004|155004
NYCFC|Harrison|Jack|M|130000|165500
VAN|Harvey|Jordan|D|180000|180000
TOR|Hasler|Nicolas|D|65004|80670.67
DAL|Hayes|Jacori|M|65000.04|72500.04
ATL|Heath|Harrison|M|66150|66150
POOL|Heavner|Billy|GK|53004|53004
DAL|Hedges|Matt|D|399996|424996
PHI|Herbers|Fabian|M-F|110000|135500
NE|Herivaux|Zachary|M|65625|65625
RSL|Hernandez|Jose|M|53004|56379
TOR|Hernandez|Jason|D|65004|65004
NYCFC|Herrera|Yangel|M|123557.04|123557.04
CLB|Higuain|Federico|M|1050000|1050000
ORL|Higuita|Cristian|M|150000|286666.67
ORL|Hines|Sebastian|D|129996|129996
SJ|Hoesen|Danny|F|425004|503129
HOU|Holland|Joseph|M|53004|53004
NE|Hollinger-Janzen|Femi|F|54075|54075
DAL|Hollingshead|Ryan|M-D|132500|132500
CLB|Hollingsworth|Marshall|M|54075|54075
RSL|Holness|Omar|F|110000|133500
RSL|Horst|David|D|110004|115004
COL|Howard|Tim|GK|2000000|2475000
DAL|Hume|Walker|D|53004|53004
HOU|Hunter|Taylor|D|53004|53004
VAN|Hurtado|Erik|F/M|125000|131250
LA|Husidic|Baggio|M|175000|175000
SJ|Hyka|Jahmir|M|470004|520004
MNUFC|Ibarra|Miguel|M|290004|322326
VAN|Ibini|Bernie|F|135000|174000
MNUFC|Ibson||M|200004|210337.4
VAN|Igiebor|Nosa|M|65000.04|98333.37
PHI|Ilsinho||M|470000|518333.33
SJ|Imperiale|Andres|D|105000|107500
TOR|Irwin|Clint|GK|200004|211316.7
KC|Iwasa|Cameron|F|65004|65004
MTL|Jackson-Hamel|Anthony|F|66150|66150
VAN|Jacobson|Andrew|M|150000|175000
CLB|Jahn|Adam|F|92500|92500
LA|Jamieson|Bradford|F|66150|66150
DC|Jeffrey|Jared|M|105000|115000
CLB|Jimenez|Hector|M|150000|150000
NYCFC|Johansen|Eirik|GK|65625|65625
CHI|Johnson|Daniel|M|65004|65004
NYCFC|Johnson|Sean|GK|220008|220008
ORL|Johnson|Will|M|414000|450000
MNUFC|Jome|Ismaila|M|65004|67837.33
ATL|Jones|Kenwyne|F|390000|413333.33
LA|Jones|Jermaine|M|600000|722500.2
PHI|Jones|Derrick|M|65000|70900
PHI|Jones|Aaron|D|53004|53004
SEA|Jones|Joevin|D|90000|96166.67
SJ|Jungwirth|Florian|D-M|450000|516667.07
CHI|Juninho||M|700008|716674.67
ORL|Kaka||M|6660000|7167500
MNUFC|Kallman|Brent|D|65004|68295.67
CLB|Kamara|Ola|F|450000|482500
NE|Kamara|Kei|F|800000|800000
ATL|Kann|Alec|GK|77004|77004
MNUFC|Kapp|Alex|GK|53004|53004
CHI|Kappelhof|Johan|D|530000|570000
NYRB|Keita|Muhamed|F|200012.04|256401.04
DC|Kemp|Taylor|D|120000|120000
LA|Kempin|Jonathan|GK|65004|65004
CLB|Ketterer|Logan|GK|53004|53004
DC|Klenofsky|Eric|GK|53004|56754
NYRB|Kljestan|Sacha|M|650000|787500
NE|Knighton|Brad|GK|100910.25|100910.25
NE|Kobayashi|Daigo|M|69996|76996
NE|Koffie|Gershon|M|120000|120000
DC|Korb|Chris|D|65004|71004
NE|Kouassi|Xavier|M|840000|890541.75
SEA|Kovar|Aaron|M|66150|66350
ATL|Kratz|Kevin|M|150000|164250
MTL|Kronberg|Eric|GK|99999.96|104999.96
VAN|Laba|Matias|M|725000|885500
NYRB|Lade|Connor|D|85000|92812.5
DAL|Lamah|Roland|M|630000|773500
CHI|Lampson|Matt|GK|76000|81375
ATL|Larentowicz|Jeff|M|175008|175008
ORL|Larin|Cyle|F|150000|192000
ORL|Laryea|Richmond|M|130000|159000
LA|Lassiter|Ariel|F|54075|54075
NYRB|Lawrence|Kemar|D|100000|205600
SEA|Leerdam|Kelvin|D|380640|455640
MTL|Lefevre|Wandrille|D|94999.92|104499.92
MNUFC|Leiton|Jose|F-M|53004|68504
RSL|Lennon|Brooks|F|53004|53004
VAN|Levis|Brett|D|65000|67500
NYCFC|Lewis|Jonathan|F|80000.04|115500.04
NYRB|Lewis|Zeiko|M|75000|93750
SJ|Lima|Nick|D|80004|86208.03
LA|Lletget|Sebastian|M|230000|242666.67
KC|Lobato|Cristian|M|180000|180000
SEA|Lodeiro|Nicolas|M|1371428.57|1743428.57
NYRB|Long|Aaron|D|65000|65000
NYCFC|Lopez|Mikey|M|75000|75000
NYRB|Louro|Evan|GK|53004|53004
MTL|Lovitz|Daniel|M|78750|78750
ATL|Loyd|Zach|D|85008|85008
HOU|Lucatero|Christian|M|53000|53250
POR|Mabiala|Larrys|D|431666.64|480916.64
HOU|Machado|Adolfo|D|200004|216504
COL|MacMath|Zac|GK|150000|150000
HOU|Malki|George|D|65004|65004
SEA|Mallace|Calum|M|115000|131250
CLB|Maloney|Connor|D|53004|53004
MTL|Mancosu|Matteo|F|700000.08|719541.75
CLB|Manneh|Kekuta|M-F|138875|168375
HOU|Manotas|Mauro|F|215746.08|215746.08
VAN|Marinovic|Stefan|GK|65000.04|77562.54
PHI|Marquez|Richard|D|133000|139430
SEA|Marshall|Chad|D|350000|366250
MNUFC|Martin|Collin|M|84996|84996
ATL|Martinez|Josef|F|924000|1041310
CLB|Martinez|Cristian|M|65633.4|70133.4
HOU|Martinez|Tomas|M|315000|497925
NYRB|Martins|Felipe|M|385000.08|385000.08
NYCFC|Matarrita|Ronald|D|175000|200000
SEA|Mathers|Zach|M|53004|53004
POR|Mattocks|Darren|F|300000|316666.67
VAN|Maund|Aaron|D|165000|174437.5
TOR|Mavinga|Chris|D|265008|300691.6
LA|McBean|Jack|F|65625|65625
ATL|McCann|Chris|M|540000|568000
PHI|McCarthy|John|GK|86500|95750
CHI|McCarty|Dax|M|400000.08|412500.08
PHI|McGuire|Jake|GK|53004|53004
LA|McInerney|Jack|F|325000|325000
POR|McIntosh|Kendall|GK|53000|53000
VAN|McKendry|Ben|M|65000|65000
MNUFC|McLain|Patrick|GK|80000|80000
NYCFC|McNamara|Thomas|M|185000.04|185000.04
NYRB|Meara|Ryan|GK|100008|105008
ATL|Mears|Tyrone|D|183756|183756
KC|Medranda|Jimmy|D|130008|130008
PHI|Medunjanin|Haris|M|460008|505008
CHI|Meira|Joao|D-M|150000|165000
POR|Melano|Lucas|F|790000|1010000
KC|Melia|Tim|GK|165000|167500
NYCFC|Mena|Jefferson|D|250000|261400
LA|Mendiola|Raul|F|65625|65625
CLB|Mensah|Jonathan|D|750000|844000
CLB|Meram|Justin|M|300000|328750
SEA|Meredith|Bryan|GK|66150|66150
NYRB|Metzger|Dan|M|53004|53004
VAN|Mezquida|Nicolas|M-F|120000|120000
SJ|Mfeka|Lindo|M-F|53004|53004
CHI|Mihailovic|Djordje|M|80000.04|80000.04
COL|Miller|Eric|D|75553.75|86553.75
POR|Miller|Roy|D|150000|150000
SEA|Miller|Tyler|GK|65633.4|65633.4
DC|Miranda|Bruno|F|53000.04|57476.13
NE|Mlinar Delamea|Antonio|D|400008|400008
MNUFC|Molino|Kevin|M|350004|402504
HOU|Monteiro de Lima|Alex|M|170000|170000
VAN|Montero|Fredy|F|1400000.04|1800000.04
TOR|Moor|Drew|D|246750|261750
DAL|Morales|Javier|M|300000|315000
NYCFC|Moralez|Maximiliano|M|2000000.04|2000000.04
TOR|Morgan|Ashtone|D|100008|101508
SEA|Morris|Jordan|F|225000|237500
TOR|Morrow|Justin|D|210000|226666.67
RSL|Movsisyan|Yura|F|1750000|1973750
RSL|Mulholland|Luke|M|172500|172500
DC|Mullins|Patrick|F|114125|144125
NYRB|Murillo|Michael|D|65004|73754
KC|Musa|James|D-M|65004|65004
KC|Mustivar|Soni|M|200000|200000
NYRB|Muyl|Alex|F|65625|69625
POR|Myers|Chance|D|125004|125004
POR|Nagbe|Darlington|M/F|550000|565000
PHI|Najem|Adam|M|65000.04|65000.04
NYRB|N'dam|Hassan|D|53004|53004
SEA|Neagle|Lamar|M-F|200000|202833.33
NE|Nemeth|Krisztian|F|547200|654866.67
VAN|Nerwinski|Jake|D|65004|65004
NE|Nguyen|Lee|M|500000|500000
MNUFC|Nicholson|Sam|M|235008|281456
CHI|Nikolic|Nemanja|F|1700000.04|1906333.37
ORL|Nocerino|Antonio|M|800000|850000
DC|Nyarko|Patrick|F-M|235000|250750
CLB|Obinwa|Abuchi|M|65004|65004
ATL|Oblitey Otoo|Jeffrey|M-F|53000|53000
DC|Odoi-Atsem|Chris|D|65000.04|72500.04
MTL|Oduro|Dominic|F|330000|330000
NYCFC|Okoli|Sean|F|52999.92|52999.92
POR|Okugo|Amobi|D-M|65004|187941.5
KC|Oliveira|Kevin|M|65004|68337.33
POR|Olum|Lawrence|M|142500|157500
PHI|Onyewu|Oguchi|D|65004|65004
KC|Opara|Ike|D|150000|150000
DC|Opare|Kofi|D|105000|120000
TOR|Osorio|Jonathan|M|191762.5|200237.13
VAN|Ousted|David|GK|360000|378933.33
LAFC|Pacheco|Rodrigo|F|99999.96|99999.96
TOR|Pais|Mark|GK|65004|65004
KC|Palmer-Brown|Erik|D|75000|75500
VAN|Parker|Tim|D|80850|99600
ATL|Parkhurst|Michael|D|325008|325008
KC|Pasher|Tyler|D-M|53000|53000
LA|Pedro|Joao|M|120000|141000
SJ|Pelosi|Marc|M|65004|75004
ORL|Pereira|Leonardo|D|53004|53004
COL|Perez|Ricardo|M|53004|54254
NYRB|Perrinelle|Damien|D|175008|175008
ATL|Peterson|Jacob|M-F|165300|172550
RSL|Phillips|Demar|D|155004|162837.33
MTL|Piatti|Ignacio|M|450000|450000
PHI|Picault|Fabrice|F|114999.96|128666.63
MTL|Piette|Samuel|M|90000|99234.37
NYCFC|Pirlo|Andrea|M|5600000|5915690
RSL|Plata|Joao|F|450000|608333.33
CHI|Polster|Matt|D-M|99900|114900
DAL|Pomykal|Paxton|M|70000|75000
PHI|Pontius|Chris|M-F|400000|431000
KC|Porter|Cameron|F|65000|117500
POR|Powell|Alvas|D|115000|123700
ORL|Powers|Dillon|M|295000|325000
SJ|Qazaishvili|Valeri "Vako"|M|1325004|1454042.36
HOU|Quioto|Romell|F|200004|212504
CLB|Raitala|Jukka|D|125004|161670.67
MNUFC|Ramirez|Christian|M|350004|392504.4
ORL|Ramos|Rafael|D|100800|100800
NYCFC|Rawls|Andre|GK|65633.4|65633.4
ORL|Redding|Tommy|D|110000|117500
DAL|Reid|Adonijah|F|70000.08|84375.08
HOU|Remick|Dylan|D|66150|66150
VAN|Reyna|Yordy|M-F|440000.04|533700.04
ATL|Reynish|Kyle|GK|65004|65004
DAL|Reynolds|Bryan|F|53000|55000
VAN|Richey|Spencer|GK|65004|65004
TOR|Ricketts|Tosaint|F|180000|193166.67
POR|Ridgewell|Liam|D|615000|615000
RSL|Rimando|Nick|GK|450000|470000
NYCFC|Ring|Alexander|M|340000.08|381666.75
ORL|Rivas|Carlos|M|375000|375000
ATL|Robinson|Miles|D|125000.04|195000.04
DC|Robinson|Jalen|D|69996|69996
NYRB|Robles|Luis|GK|430000.08|430000.08
ORL|Rocha|Tony|M|65620.8|65620.8
HOU|Rodriguez|Memo|M|53004|53004
SEA|Rodriguez|Victor|M|999999.96|1087499.96
LA|Rogers|Robbie|M|225000|233500
SEA|Roldan|Cristian|M|115000|137000
DC|Rolfe|Chris|F|275000|275000
MTL|Romero|Andres|M|245000.04|405000.04
LA|Romney|David|D|66150|66150
VAN|Rosales|Mauro|M|65004|65004
PHI|Rosenberry|Keegan|D|104500|110312.5
LA|Rowe|Brian|GK|120000|120000
NE|Rowe|Kelyn|M|165000|230000
NYRB|Royer|Daniel|M|450000|471666.67
KC|Rubio Kostner|Diego|F|202000|218875
RSL|Rusnak|Albert|M|825000|882812.5
KC|Saad|Soony|F|65004|65004
COL|Saeid|Mohammed|M|160000|170000
MTL|Salazar|Michael|F|54075|54075
SJ|Salinas|Shea|M|185000|185000
KC|Salloi|Daniel|F|53000|53000
DC|Sam|Lloyd|M-F|240000|250000
CHI|Sanchez|Richard|M|64999.92|64999.92
HOU|Sanchez|Vicente|F|65004|65004
KC|Sanchez|Ilie|M|300000|305000
NYCFC|Sands|James|D-M|53000.04|73833.37
CLB|Santos|Pedro|M|684000|731000
PHI|Sapong|CJ|F|300000|300000
CLB|Saravia|Rodrigo|M|65625|65625
SJ|Sarkodie|Kofi|D|135000|140000
DC|Sarvas|Marcelo|M|360000|425000
RSL|Saucedo|Sebastian|M|90000|100500
ORL|Saunders|Josh|GK|150000|150000
CLB|Sauro|Gaston|D|585000|601312.5
RSL|Savarino|Jefferson|F|352500|376187.65
RSL|Schmidt|Justin|D|53004|53004
RSL|Schuler|Chris|D|127500|132500
MNUFC|Schuller|Rasmus|M|200004|225004
CHI|Schweinsteiger|Bastian|M|5400000|5400000
VAN|Seiler|Cole|D|54075|54075
DAL|Seitz|Chris|GK|153000|153000
HOU|Senderos|Philippe|D|225000|242500
COL|Serna|Dillon|M|72600|85600
VAN|Shea|Brek|M-D|625000|670000
NYCFC|Shelton|Khiry|F|92950|110450
SEA|Shipp|Harrison|M|144999.96|144999.96
MTL|Shome|Shamit|M|100000.08|128500.08
MNUFC|Shuttleworth|Bobby|GK|155000|171875
RSL|Silva|Luis|M-F|200004|208670.67
RSL|Silva|Marcelo|D|675000|711875
SJ|Silva|Matheus|M|65000|65000
PHI|Simpson|Jay|F|465000|508333.33
KC|Sinovic|Seth|D|125000|132666.67
COL|Sjoberg|Axel|D|108350|123350
LA|Smith|Nathan|D|53004|55499.85
NE|Smith|Donnie|M|66150|66150
NE|Smith|Joshua|D|65000|65000
CHI|Solignac|Luis|F|274999.92|328312.42
RSL|Sparrow|Connor|GK|53004|53004
ORL|Spector|Jonathan|D|549996|611933.5
TOR|Spencer|Ben|F|65004|71554.28
ORL|Stajduhar|Mason|GK|53000|53000
CLB|Steffen|Zack|GK|105000|105000
LA|Steres|Daniel|D|105000|112062.6
NYCFC|Stertzer|John|M|65000|65000
DC|Stieber|Zoltan|M|99999.96|99999.96
KC|Storm|Colton|D|53004|53004
NYCFC|Struna|Andraz|D|75600|75600
CLB|Stuver|Brad|GK|80004|80004
RSL|Sunday|Stephen|M|240000|253000
ORL|Sutter|Scott|D|240000|240000
SEA|Svensson|Gustav|M|170000.04|170000.04
CLB|Swanson|Ben|M|85000|105416.67
NYCFC|Sweat|Ben|D|65004|65004
MTL|Tabla|Ballou Jean-Yves|M|70000|78999.8
ATL|Tambakis|Alexander|GK|65004|65004
SJ|Tarbell|Andrew|GK|80000|94000
MNUFC|Taylor|Jermaine|D|125004|135004
VAN|Tchani|Tony|M|275000|308333.33
VAN|Techera|Cristian|M|352000|377000
VAN|Teibert|Russell|M|126500|194000
MNUFC|Thiesson|Jerome|D|171000|210166.67
SJ|Thompson|Tommy|M|150000|155000
NE|Tierney|Chris|D-M|140000|148333.33
ORL|Toia|Donny|D|110004|110004
SEA|Tolo|Nouhou|D|52999.92|52999.92
HOU|Torres|Erick|F|650000|695000
SEA|Torres|Roman|D|433000|508812.5
CLB|Trapp|Wil|M|300000|350000
PHI|Tribbett|Ken|D|65000|65000
PHI|Trusty|Auston|D|75000|104100
POR|Tuiloma|Bill|D-M|53004|64254
NE|Turner|Matt|GK|54075|54075
DAL|Ulloa|Victor|M|150000|152500
SJ|Urena|Marco|F|275004|289420.67
DAL|Urruti|Maximiliano|F|300000|560000
POR|Valentin|Zarek|D|110000|110000
POR|Valeri|Diego|M|2227500|2607500
LA|Van Anholt|Pele|D|216000|216000
