Club|First Name|Last Name|Position|Base Salary|Total Compensation
San Jose Earthquakes|Joel|Qwiberg|D|129999.96|167999.96
Montreal Impact|Jukka|Raitala|D|205004|241670.67
Minnesota United|Wyatt|Omsberg|D|54500.04|54500.04
Orlando City SC|Shane|O'Neill|D|64999.92|79499.92
Real Salt Lake|Nedum|Onuoha|D|150000|219000
Sporting Kansas City|Ike|Opara|D|324999.96|342916.63
DC United|Kofi|Opare|D|118125|133125
Columbus Crew|Edward|Opoku|F|75000|96000
Toronto FC|Jonathan|Osorio|M|201350.63|209825.25
DC United|David|Ousted|GK|350000.04|369166.71
Minnesota United|Bertrand|Owundi Eko'o|D|67500|67500
Minnesota United|Fernando "Bob"|Paixao Da Silva|M|152496|152496
Minnesota United|Frantz|Pangop|M|67500|67500
Montreal Impact|James|Pantemis|GK|54500.04|55000.04
Portland Timbers|Cristhian|Paredes|M|252000|283500
New York Red Bulls|Tim|Parker|D|97185|115935
Atlanta United|Michael|Parkhurst|D|340008|340008
San Jose Earthquakes|Kevin|Partida|M|54500.04|54500.04
Toronto FC|Caleb|Patterson-Sewell|GK|67500|67500
Real Salt Lake|Taylor|Peay|D|67500|67500
LA Galaxy|Joao|Pedro|M|219996|240996
FC Dallas|Marcos|Pedroso|D|330000|330000
Houston Dynamo|Ronaldo|Pena|F|225000|225000
New England Revolution|Cristian|Penilla|F|500000.04|550000.04
Colorado Rapids|Ricardo|Perez|M|60000|61250
LAFC|Josh|Perez|F|54499.92|54499.92
Real Salt Lake|Luke|Mulholland|M|173250|173250
Columbus Crew|Patrick|Mullins|F|249996|249996
New York Red Bulls|Michael|Murillo|D|80004|88754
LAFC|James|Murphy|M|67500|87500
San Jose Earthquakes|Danny|Musovski|F|54500.04|54500.04
Vancouver Whitecaps|Jordon|Mutch|M|156000|284166.67
New York Red Bulls|Alex|Muyl|F|110000|114000
|Chance|Myers|D|175008|175008
Atlanta United|Darlington|Nagbe|F-M|605000|620000
Philadelphia Union|Adam|Najem|M|71500.04|71500.04
Seattle Sounders FC|Lamar|Neagle|F-M|96000|99000
Houston Dynamo|Michael|Nelson|GK|54500.04|54500.04
Sporting Kansas City|Krisztian|Nemeth|F|900000|1007666.67
Vancouver Whitecaps|Jakob|Nerwinski|D|67500|71625
LAFC|Lee|Nguyen|M|500000|500000
Colorado Rapids|Sam|Nicholson|M|265008|311456
Chicago Fire|Nemanja|Nikolic|F|1700000.04|1906333.37
Vancouver Whitecaps|David|Norman|M|54500.04|55500.04
Real Salt Lake|Sunday|Obayan|M|275000|288000
San Jose Earthquakes|Jimmy|Ockford|D|67500|67500
DC United|Chris|Odoi-Atsem|D|54500.04|59500.04
San Jose Earthquakes|Dom|Oduro|F|330000|330000
New York City FC|Ebenezer|Ofori|M|324999.96|381249.96
Atlanta United|Patrick|Okonkwo|F|54504|65504
Portland Timbers|Lawrence|Olum|M|185004|200004
Sporting Kansas City|Tim|Melia|GK|300000|316666.67
Vancouver Whitecaps|Sean|Melvin|GK|54500.04|54500.04
Columbus Crew|Jonathan|Mensah|D|774996|868996
Columbus Crew|Justin|Meram|M|550008|578758
Seattle Sounders FC|Bryan|Meredith|GK|67500|67500
Vancouver Whitecaps|Nicolas|Mezquida|F-M|130000.08|130000.08
Chicago Fire|Djordje|Mihailovic|M|96000.04|96000.04
LAFC|Tyler|Miller|GK|68915.07|68915.07
Minnesota United|Eric|Miller|D|84997.97|105997.97
Portland Timbers|Roy|Miller|D|150000|150000
New York Red Bulls|Ben|Mines|M|54504|60518
DC United|Bruno|Miranda|F|67500|71976.09
New England Revolution|Antonio|Mlinar Delamea|D|400008|400008
Minnesota United|Kevin|Molino|M|425004|477504
Toronto FC|Drew|Moor|D|350004|350004
DC United|Joseph|Mora|D|90000|104250
New York City FC|Maxi|Moralez|M|2000000.04|2000000.04
DC United|Junior|Moreno|M|120000|139500
Toronto FC|Ashtone|Morgan|D|120000|121500
Seattle Sounders FC|Jordan|Morris|F|222000|234500
Toronto FC|Justin|Morrow|D|300000|300000
FC Dallas|Santiago|Mosquera|M|450000|541400
LAFC|Joao|Moutinho|D|129999.96|169999.96
Chicago Fire|Yura|Movsisyan|F|1850000|2073750
Orlando City SC|Chris|Mueller|F|84999.96|98749.96
Houston Dynamo|Tomas|Martinez|M|305004|487929
Vancouver Whitecaps|Felipe|Martins|M|425000.04|425000.04
New York City FC|Ronald|Matarrita|D|275000.04|395000.04
DC United|Darren|Mattocks|F|400000|416666.67
Vancouver Whitecaps|Aaron|Maund|D|180000|189437.5
FC Dallas|Jimmy|Maurer|GK|120000|122500
Toronto FC|Chris|Mavinga|D|500000.04|563333.37
Philadelphia Union|Olivier|Mbaizo|D|67500|67500
Colorado Rapids|Jack|McBean|F|68906.25|68906.25
Atlanta United|Chris|McCann|M|560000|588000
Philadelphia Union|John|McCarthy|GK|95000|104250
Chicago Fire|Dax|McCarty|M|700000.08|712500.08
Seattle Sounders FC|Jordan|McCrary|D|67500|67500
Philadelphia Union|Jake|McGuire|GK|55654.2|55654.2
Portland Timbers|Kendall|McIntosh|GK|55650|55650
Philadelphia Union|Mark|McKenzie|D|54500.04|64500.04
Chicago Fire|Patrick|McLain|GK|67500|67500
New York City FC|Thomas|McNamara|M|199999.92|199999.92
New York Red Bulls|Ryan|Meara|GK|120000|125000
New York City FC|Jesus|Medina|M|650000.04|770833.37
Sporting Kansas City|Jimmy|Medranda|D|140004|140004
Philadelphia Union|Haris|Medunjanin|M|500004|545004
Montreal Impact|Thomas|Meilleur-Giguere|D|54500|57625
Portland Timbers|Lucas|Melano|F|840000|840000
New York Red Bulls|Evan|Louro|GK|55654.2|55654.2
Montreal Impact|Daniel|Lovitz|M|86625|86625
Columbus Crew|Ben|Lundgaard|GK|54500.04|54500.04
Houston Dynamo|Adam|Lundkvist|D|405000|433750
LAFC|Charlie|Lyon|GK|67500|67500
Portland Timbers|Larrys|Mabiala|D|750000|793333.33
Houston Dynamo|Adolfo|Machado|D|220008|236508
New England Revolution|Cristhian|Machado|D-M|132000|150512.5
Colorado Rapids|Zac|MacMath|GK|170000|170000
|George|Malki|D|68254.2|68254.2
LAFC|Calum|Mallace|M|80000.04|80000.04
Columbus Crew|Connor|Maloney|D|55654.2|55654.2
New England Revolution|Michael|Mancienne|D|1284768|1370268
Montreal Impact|Matteo|Mancosu|F|700000.08|719541.75
Minnesota United|Carter|Manley|D|54500.04|54500.04
Houston Dynamo|Mauro|Manotas|F|264328.08|264328.08
San Jose Earthquakes|JT|Marcinkowski|GK|120000|132000
San Jose Earthquakes|Paul|Marie|D|54500.04|54500.04
Vancouver Whitecaps|Stefan|Marinovic|GK|150000|162562.5
Philadelphia Union|Richie|Marquez|D|145000|151430
Seattle Sounders FC|Chad|Marshall|D|300000|341250
Minnesota United|Collin|Martin|M|95004|95004
Atlanta United|Josef|Martinez|F|1270008|1387318
Colorado Rapids|Enzo|Martinez|M|67500|67500
Columbus Crew|Cristian|Martinez|M|68915.07|73415.07
New York Red Bulls|Ethan|Kutler|D|54500.04|54500.04
Sporting Kansas City|Wan|Kuzain|M|67500|67500
New York Red Bulls|Connor|Lade|D|114000|120749.85
FC Dallas|Roland|Lamah|M|675000|818500
Minnesota United|Matt|Lampson|GK|100000.08|107500.08
Portland Timbers|Foster|Langsdorf|F|54500.04|54500.04
Atlanta United|Jeff|Larentowicz|M|210000|210000
Orlando City SC|Richie|Laryea|M|135000|164000
LA Galaxy|Ariel|Lassiter|F|67500|67500
New York Red Bulls|Kemar|Lawrence|D|150000|255600
Seattle Sounders FC|Kelvin|Leerdam|D|500000.04|575000.04
|Wandrille|Lefevre|D|109999.92|119499.92
|Jose|Leiton|F-M|67500|83000
Real Salt Lake|Brooks|Lennon|F|225000|237583.33
Vancouver Whitecaps|Brett|Levis|D|68250|70750
New York City FC|Jonathan|Lewis|F|90000|125500
Chicago Fire|Grant|Lillard|D|80000.04|82500.04
San Jose Earthquakes|Nick|Lima|D|93996|100200.03
Orlando City SC|Cam|Lindley|M|80000.04|88906.29
Sporting Kansas City|Jaylin|Lindsey|D|54504|67504
LA Galaxy|Sebastian|Lletget|M|240000|252666.67
Sporting Kansas City|Cristian|Lobato|M|240000|240000
Seattle Sounders FC|Nicolas|Lodeiro|M|1800000|2302500
New York Red Bulls|Aaron|Long|D|73125|73125
LAFC|Luis|Lopez|GK|70000.08|147500.08
Real Salt Lake|Ricky|Lopez-Espin|F|67500|76250
Minnesota United|Brent|Kallman|D|82500|85791.67
LA Galaxy|Ola|Kamara|F|825000|925000
Vancouver Whitecaps|Kei|Kamara|F|1000000|1000000
Atlanta United|Alec|Kann|GK|94008|94008
Minnesota United|Alex|Kapp|GK|55654.2|55654.2
Chicago Fire|Johan|Kappelhof|D|555000|595000
San Jose Earthquakes|Guram|Kashia|D|549999.96|549999.96
Chicago Fire|Aleksandar|Katai|M|1200000|1320333.33
LAFC|Mark-Anthony|Kaye|M|69999.96|74999.96
Seattle Sounders FC|Kim|Kee-Hee|D|500004|632004
|Muhamed|Keita|F|324999.96|367291.71
DC United|Dane|Kelly|F|67500|69500
DC United|Taylor|Kemp|D|140000|140000
Columbus Crew|Jonathan|Kempin|GK|80256|80256
Columbus Crew|Logan|Ketterer|GK|67500|67500
LA Galaxy|Perry|Kitchen|D-M|450000|474166.67
Orlando City SC|Sacha|Kljestan|M|1025000.04|1100000.04
New England Revolution|Brad|Knighton|GK|105955.56|110955.56
|Chris|Konopka|GK|67500|67500
LAFC|Aaron|Kovar|M|69457.5|69657.5
Atlanta United|Kevin|Kratz|M|165000|179250
Real Salt Lake|Damir|Kreilach|M|900000|1013333.33
Montreal Impact|Ken|Krolicki|M|54500.04|54500.04
Atlanta United|Lagos|Kunga|M-F|54500.04|58500.04
Vancouver Whitecaps|Erik|Hurtado|F/M|150000|156250
LA Galaxy|Baggio|Husidic|M|174999.96|174999.96
San Jose Earthquakes|Jahmir|Hyka|M|489996|539996
Minnesota United|Romario|Ibarra|M|500000.04|546250.04
Minnesota United|Miguel|Ibarra|M|300000|332322
New York City FC|Sebastien|Ibeagha|D|67500|67500
LA Galaxy|Zlatan|Ibrahimovic|F|1500000|1500000
Toronto FC|Clint|Irwin|GK|210000|221312.7
New York Red Bulls|Andreas|Ivan|M|240000|344100
Colorado Rapids|Niki|Jackson|F|54500.04|54500.04
Montreal Impact|Anthony|Jackson-Hamel|F|140000.04|155000.04
Portland Timbers|Modou|Jadama|D|54500.04|54500.04
Columbus Crew|Adam|Jahn|F|97500|97500
LAFC|Dejan|Jakovic|D|150000|150000
LA Galaxy|Bradford|Jamieson|F|72765|72765
Toronto FC|Lucas|Janson|F|396000|449000
DC United|Jared|Jeffrey|M|114996|124996
Columbus Crew|Hector|Jimenez|M|159996|159996
Chicago Fire|Daniel|Johnson|M|68254.2|68254.2
New York City FC|Sean|Johnson|GK|250008|250008
Orlando City SC|Will|Johnson|M|434004|470004
Philadelphia Union|Derrick|Jones|M|70000|75900
Vancouver Whitecaps|Efrain|Juarez|D-M|525000|619833.33
San Jose Earthquakes|Florian|Jungwirth|D-M|500004|566671.07
FC Dallas|Jacori|Hayes|M|68250.04|75750.04
Minnesota United|Harrison|Heath|M|69457.5|69457.5
FC Dallas|Matt|Hedges|D|500004|525004
Real Salt Lake|Adam|Henley|D|114999.96|122833.29
Vancouver Whitecaps|Doneil|Henry|D|140004|154237.71
Philadelphia Union|Fabian|Herbers|F-M|100008|100008
New England Revolution|Zachary|Herivaux|M|68906.25|83906.25
Atlanta United|Jose Rafael|Hernandez|D|120000|120000
FC Dallas|Moises|Hernandez|D|67500|67500
Real Salt Lake|Jose E|Hernandez|M|67500|70875
Toronto FC|Jason|Hernandez|D|67500|67500
New York City FC|Yangel|Herrera|M|200000.04|200000.04
Real Salt Lake|Aaron|Herrera|D|67500|67500
Columbus Crew|Federico|Higuain|M|1100000.04|1100000.04
Orlando City SC|Cristian|Higuita|M|444996|581662.67
Atlanta United|Mitch|Hildebrandt|GK|67500|67500
LA Galaxy|Tomas|Hilliard-Arce|D|90000|113125
San Jose Earthquakes|Danny|Hoesen|F|465000|518000
New England Revolution|Femi|Hollinger-Janzen|F|67500|67500
FC Dallas|Ryan|Hollingshead|D-M|145000|145000
Real Salt Lake|David|Horst|D|125004|131629
LAFC|Andre|Horta|M|1100000.04|1198000.04
Real Salt Lake|Alex|Horwath|GK|67500|73362.5
New York City FC|Cedric|Hountondji|D|220000.08|258333.41
Colorado Rapids|Tim|Howard|GK|2000000|2475000
Real Salt Lake|Justen|Glad|D|270000|291700
Portland Timbers|Jake|Gleeson|GK|120000|125166.67
San Jose Earthquakes|Anibal|Godoy|M|425000.04|473125.04
Minnesota United|Alexi|Gomez|M|300000|339450
FC Dallas|Jesse|Gonzalez|GK|187500|211500
Chicago Fire|Alan|Gordon|F|150000|155000
Atlanta United|Chris|Goslin|M|80000|84000
Columbus Crew|Mike|Grella|F|195300|197550
Atlanta United|Julian|Gressel|M|92500|111250
Orlando City SC|Adam|Grinwis|GK|67500|67500
FC Dallas|Carlos|Gruezo|M|595000.08|730750.08
Sporting Kansas City|Felipe|Gutierrez|M|1599999.96|1649999.96
Atlanta United|Brad|Guzan|GK|640008|700008
Portland Timbers|David|Guzman|M|219999.96|239999.96
Toronto FC|Nick|Hagglund|D|125004|134629
Colorado Rapids|Marlon|Hairston|M|144996|144996
DC United|Bill|Hamid|GK|67500|93175
Colorado Rapids|Sam|Hamilton|M|68254.2|68254.2
Toronto FC|Jordan|Hamilton|F|72930.38|100430.38
Columbus Crew|Niko|Hansen|F|68250.04|75750.04
DC United|Ian|Harkes|M|104500|137737.5
LAFC|Jordan|Harvey|D|150000|150000
Chicago Fire|Nicolas|Hasler|D-M|132000|147666.67
New England Revolution|Guillermo|Hauche|M-F|120000|135000
DC United|Oniel|Fisher|D-M|68906.25|68906.25
Montreal Impact|Kyle|Fisher|D|55654.2|55654.2
Portland Timbers|Andres|Flores|M|67500|67500
Philadelphia Union|Anthony|Fontana|M|65004|73421.6
Sporting Kansas City|Andreu|Fontas|D|999999.96|999999.96
Colorado Rapids|Kortne|Ford|D|82500|89500
New York Red Bulls|Hassan Ndam|Fouapon|D|54504|54504
Seattle Sounders FC|Waylon|Francis|D|165000|196041.67
Vancouver Whitecaps|Sean|Franklin|D|150000|150000
Toronto FC|Liam|Fraser|M|67500|72500
Sporting Kansas City|Tyler|Freeman|F|55200|67700
Seattle Sounders FC|Stefan|Frei|GK|250000.08|262500.08
Houston Dynamo|Alejandro|Fuenmayor|D|85008|112508
San Jose Earthquakes|Gilbert|Fuentes|M|69999.96|81999.96
Philadelphia Union|Raymon|Gaddis|D|180000|182500
Atlanta United|Jon|Gallagher|F|67500|68750
Houston Dynamo|Oscar Boniek|Garcia|M|150000|165000
Houston Dynamo|Kevin|Garcia|D|68915.07|68915.07
Atlanta United|Greg|Garza|D|175008|175008
Colorado Rapids|Shkelzen|Gashi|F|1575000|1668750
Vancouver Whitecaps|Aly|Ghazal|M|575000.04|700566.71
Houston Dynamo|Luis|Gil|M|67500|67500
Toronto FC|Sebastian|Giovinco|F|5600000|7115555.67
Orlando City SC|Victor|Giro|D-M|90000|95312.5
Houston Dynamo|Alberth|Elis|F|650340|650340
Philadelphia Union|Jack|Elliott|D|59629.5|59629.5
DC United|Kevin|Ellis|D|150000|158333.33
Orlando City SC|Mohammed|El-Mounir|D|174999.96|192833.29
Vancouver Whitecaps|Marvin|Emnes|F|69996|159829.33
Philadelphia Union|Marcus|Epps|M|55654.2|55654.2
San Jose Earthquakes|Magnus|Eriksson|F|399999.96|399999.96
Atlanta United|Franco|Escobar|D|250008|250008
New York Red Bulls|Fidel|Escobar|D|145000.08|145000.08
Sporting Kansas City|Roger|Espinoza|M|900000|900000
New York Red Bulls|Derrick|Etienne|M|68500|73500
Sporting Kansas City|Brad|Evans|D-M|200000.04|200000.04
New England Revolution|Diego|Fagundez|M|170000|190000
Montreal Impact|Rod|Fanni|D|1200000|1225000
Portland Timbers|Marco|Farfan|D|64500|64500
New England Revolution|Andrew|Farrell|D|182600|267600
LAFC|Benny|Feilhaber|M|625000|625000
San Jose Earthquakes|Luis|Felipe|M|67500|68500
LA Galaxy|Rolf|Feltscher|D|240000|270000
Sporting Kansas City|Gerso|Fernandes|F-M|550008|591258
Minnesota United|Luiz|Fernando|M|275000.04|314166.71
FC Dallas|Jesus|Ferreira|F|54500|54500
FC Dallas|Maynor|Figueroa|D|240000|250000
Minnesota United|Ethan|Finlay|M|375000|375000
Toronto FC|Marco|Delgado|M|230000|230000
Retired|Clint|Dempsey|F|1100000.04|1650000.04
|Nick|DePuy|F|68254.2|75754.2
